Bno,Bname,Author,price,publ,qty,d_o_purchase
31,INDIA FACES WAR,SUKHDEO PRASAD BARANWAL,255,"GUIDE PUBLICATIONS, NEW DELHI",3,1966
32,WHO'S WHO IN AFGANISTAN,S. SATYAJIT,230,"THE GOVERNMENT MONOTYPE PRESS, SIMLA",3,1920
33,THE URBAN COMPLEX,ROBERT C. WEAVER,297,"LYALL BOOK DEPOT, LUDHIANA",2,1964
34,THE PATHAN KING OF DELHI,EDWARD THOMAS,467,TRUBNER AND CO. LONDON,4,1871
35,AGRICULTURAL LABOUR WAGES AND LIVING CONDITIONS IN MEERUT,R.C. SAXENA,480,"ELITE PUBLICATIONS, DELHI",2,1969
36,POLITICAL CONSPIRACIES IN PAKISTAN,JAMNA DAS AKHTAR,380,"PUNJABI PUSTAK BHANDAR, DELHI",3,1969
37,PROFILES OF GANDHI,NORMAN COUSINS,236,"INDIAN BOOK COMPANY, DELHI -",4,1969
38,PAINTING IN THE FAR EAST,LAURENCE BINYON,296,"EDWARD ARNOLD & CO. LONDON, LONDON",1,1923
39,THE INDIAN MUTINY 1857-1858,"G.W. FOREST , C.I.E.",,"MILITARY DEPARTMENT PRESS, CALCUTTA",1,1902
40,THE PEOPLE OF INDIA,"SIR HERBERT RISLEY, K.C.J.E.",403,"MRS NIRMAL D. JAIN, ORIENTAL BOOKS REPRINT CORPORATION, DELHI",1,1969
41,THE INDIAN MUTINY 1857-1858 SELECTIONS FROM THE LETTERS DESPATCHES AND OTHER STATE PAPERS PRESERVED IN THE MILITARY DEPARTMENT OF THE GOVERNMENT OF INDIA 1857-58,"G.W. FOREST , C.I.E.",414,"MILITARY DEPARTMENT PRESS, CALCUTTA",2,1902
42,THE INDIAN MUTINY 1857-1858,"G.W. FOREST , C.I.E.",,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1912
43,MEDIEVAL INDIA UNDER MOHAMMEDAN RULE,STANLEY LANE-POOLE M.A. LITT.,449,"T. FISHER UNWIN, LONDON",3,1912
44,PROGRESS OF WOMEN'S EDUCATION IN FREE INDIA,N.B. SEN,331,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",2,1969
45,MAKERS OF MODERN INDIA,INDIAN COUNCIL OF HISTORICAL RESEARCH,125,"INDIAN COUNCIL OF HISTORICAL RESEARCH, NEW DELHI",2,1973
46,UNITED STATES ATTITUDE TOWARDS CHINA,"D.C. GUPTA, M.A. PHD.",427,"S.CHAND & CO., NEW DELHI",5,1969
47,SURPLUS MANPOWER IN AGRICULTURE AND ECONOMIC DEVELOPMENT,PRAFILLA SANGHVI,343,"ASIA PUBLISHING HOUSE, DELHI",2,1969
48,JURIDICAL STUDIES IN ANCIENT INDIAN LAW,"L.STERNBACH, LL.D",472,"MOTILAL BANARSIDASS, DELHI",4,1967
49,IMPACT OF EDUCATION ON THE BHILLS,"T.B. NAIK , M.A. PHD.",337,"RESEARCH PROGRAMMES COMMITTEE, NEW DELHI",5,1969
50,JAINA ETHICS,DAYANAND BHARGAVA,296,"MOTILAL BANARSIDASS, DELHI",4,1968
51,DEFENCE OF INDIA,CHANCHAL SARKAR SATISH SUD,102,VIKAS PUBLICATIONS,5,1969
52,AMERICAN ECONOMIC HISTORY,HELEN UNDER WOOD FAULKNER,816,UNIVERSITY BOOK STALL,2,1967
53,THE HISTORY OF INDIA,"Pro. JOHN DOWSON, MRAS,",573,TRUBNER AND CO. LONDON,1,1877
54,LIST OF THE OFFICERS OF THE BENGAL ARMY 1758-1834,MAJOR V.C.P. HODSON,436,CONSTABLE & COMPANY LTD. LONDON,5,1927
55,THE INDIAN IMAGES OF NINETEENTH CENTURY EUROPE,GIRIJA K.MOOKERJEE,58,"ASIA PUBLISHING HOUSE, DELHI",3,1967
56,CURRENT ECONOMIC PROBLEMS,BEPIN BEHARI,388,"VIKAS PUBLICATIONS, DELHI",3,1969
57,INDO-NAPALESE RELATIONS 1816 TO 1877,RAMAKANT,390,S. CHAND & CO.,4,1968
58,THE KUTCH AFFAIR,HARI RAM GUPTA,522,"U.C. KAPUR & SONS, DELHI",5,1969
59,INDUSTRIAL RELATIONS IN PRINTING INDUSTRY,C.P. THAKUR FRED  C.MUCNSON,152,SHRI RAM CENTRE FOR INDUSTRIAL RELATIONS NEW DELHI,2,1969
60,GLORIOUS THOUGHTS ON EDUCATION,N.B. SEN,359,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",5,1967
61,THE FORMATION OF THE SOVIET CENTRAL ASIAN REPUBLICS 1917-1936,R. VAIDYANATH,296,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",4,1967
62,MATRILINY AND ISLAM,LEELA DUBE,125,NATIONAL PUBLISING HOUSE DELHI,2,1969
63,KINGSHIP IN NORTHERN INDIA C. 600 A.D TO 1200 A.D,RAM CHARITRA PRASAD SINGH,151,"MOTILAL BANARSIDASS, DELHI",4,1968
64,RANA POLITY IN NEPAL,SATISH KUMAR,195,"ASIA PUBLISHING HOUSE, DELHI",4,1933
65,EAST PAKISTAN,D.N. BANERJEE,204,"VIKAS PUBLICATIONS, DELHI",5,1969
66,A HISTORY OF POLITICAL THEORIES,V. VENKATHA RAO,266,"S. CHAND & CO., NEW DELHI",3,1967
67,"AFTER NEHRU, INDIA'S NEW IMAGE",G.S. BHARGAVA,447,ALLIED PUBLISHERS,3,1966
68,BRITAINS BETRAYAL IN INDIA,FRANK ANTHONY,484,"ALLIED PUBLISHERS, BOMBAY, DELHI",2,1969
69,"WIT AND WISDOM OF GANDHI, NEHRU, TAGORE",N.B. SEN,,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",1,1968
70,BETWEEN THE LINES,KULDIP NAYAR,231,ALLIED PUBLISHERS,5,1969
71,GANDHI WARRIOR OF NON-VIOLENCE,"P.D. TANDON, ROLAND E. WOLSELY",135,"NATIONAL BOOK TRUST, NEW DELHI",4,1969
72,GANDHI THE WRITER,BHABANI BHATTACHARYA,328,"NATIONAL BOOK TRUST, NEW DELHI",5,1969
73,"REPORT, 1921-22 THE LAND OF FIVE RIVERS",….,406,"THE SUPERINTENDENT, GOVERNMENT PRINTING, PUNJAB",2,1923
74,TEN YEARS OF WORLD CO-OPERATION,SIR ERIC DRUMMOND,460,SECRETARIAT OF THE LEAGUE OF NATIONS,3,1930
75,POLITICAL DIARIES,….,,"THE PIONEER PRESS, ALLAHABAD",3,1909
76,FAMINE INQUiRY COMMISSION REPORT ON BENGAL,…..,236,LAHORE,1,
77,THE MAHATMA: A MARXIST SYMPOSIUM,M.B. RAO,136,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",1,1969
78,GOOD-BYE MR. GANDHI,KANWAR LAL,273,"INDIAN PUBLISHING HOUSE, DELHI",3,1969
79,GANDHI AND SOCIAL POLICY INDIA,DR. SAVITA,186,NATIONAL PUBLISHING HOUSE DELHI,2,1970
80,AMERICAN MISSIONARIES AND HINDUISM,"SUSHIL MADHAVA PATHAK ,M.A. PHD.",283,"MUNSHIRAM MANOHARLAL, DELHI",1,1967
81,CRIME AND PUNISHMENT IN MUSLIM INDIA,"S.P. SANGAR, M.A. PHD.",249,STERLING PUBLISHERS (P) LTD.DELHI,4,1967
82,INDIAN PLANS,"JASMIN SARAH, JAGAT GURU, J.S. BRIGHT",159,"THE UNIVERSAL BOOK & STATIONARY CO., DELHI",4,1966
83,TRIPARTITISM IN LABOUR POLICY,"KAMALA MATHUR, N.R. SHETH",183,"K.R. SESHAGIRI RAO FOR SHRI RAM CENTRE FOR INDUSTRIAL RELATIONS, NEW DELHI",1,1969
84,STATE IN RELATION TO COMMERCIAL BANKING IN THE DEVELOPING ECONOMY OF INDIA,A.G. SHARMA,334,STERLING PUBLISHERS (P) LTD.DELHI,3,1968
85,PRESIDENT NIXON A POLITIAL PORTRAIT,"EARL MAZO, AND STEPHEN HESS",326,"LYALL BOOK DEPOT, LUDHIANA",4,1969
86,INAUGURAL NEHRU LECTURE : RECENT TRENDS IN THE DEVELOPMENT OF INTERNATIONAL LAW AND ORGANISATION PROMOTING INTER-STATE CO-OPERATION AND WORLD PEACE,NAGENDRA SINGH,244,"S. CHAND & CO., NEW DELHI",1,1969
87,FOREIGN INTRIGUE AGAINST INDIA,BHAGAT VATS,299,"AMAN PUBLISHERS, NEW DELHI",3,1967
88,THE KINGDOM OF AHMADNAGAR,DR. RADHEY SHYAM,440,"MOTILAL BANARSIDASS, DELHI",1,1966
89,PRESIDENT ZAKIR HUSAIN : A STUDY,ANEES CHISHTI,125,"RACHNA PRAKASHAN, NEW DELHI",5,1967
90,A HISTORY OF ECONOMIC IDEAS,ROBERT LEKACHMAN,427,"UNIVERSAL BOOK STALL, DELHI",1,1967
91,THE MIND OF MORARJI DESAI,BASANT CHATTERJEE,111,ORIENT LONGMANS LTD. NEW DELHI,4,1969
92,THE HISTORY OF HINDOSTAN,ALEXANDER DOW,366,LONDON,2,1812
93,ZAKIR HUSAIN: DYNAMICS OF INDIGENOUS EDUCATION,R.P. SINGH,114,STERLING PUBLISHERS PVT. LTD. DELHI,5,1968
94,PROGRESS OF EDUCATION IN FREE INDIA,N.B. SEN,300,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",5,1961
95,ADVANCEMENT OF LEARNING IN INDEPENDENT INDIA,N.B. SEN,240,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",2,1967
96,ASPECTS OF POLITICAL IDEAS AND INSTITUTIONS IN ANCIENT INDIA,R.S. SHARMA,336,"MOTILAL BANARSIDASS, DELHI",5,1959
97,GANDHI HATYA,GOPAL GODSE (HINDI),320,"ASMITA PRAKASHAN, PUNE",3,1966
98,THE INDIAN CORPS IN FRANCE,LT.COL. J.W.B. MEREWETHER C.I.F.,558,"JOHN MURRAY, ALBEMARLE STREET, LONDON",4,1919
99,NATIONALISM IN CONFLICTS IN INDIA,MR. M.A. JINNAH,310,HOME STUDY CIRCLE BOMBAY,2,1919
100,KUKA MOVEMENT,FAUJA SINGH BAJWA,234,"MOTILAL BANARSIDASS, DELHI",3,1965
101,PRACTICE AND PROCEDURE OF THE SUPREME COURT OF INDIA,GURU DATTA,159,"B.V.GUPTA, METROPOLITAN BOOK CO. (P) LTD. DELHI",2,1967
102,TARIKH OLIA,NIZAMI BANSARI,512,"UNION PRESS, DELHI",1,
103,LIST OF ANCIENT MONUMENTS IN BURMA,…,49,"OFFICE OF THE SUPERINTENDENT, GOVERNMENT PRINTING BURMA",3,1916
104,THE HISTORY OF INDIAN MUTINY,CHARLES BELL,664,THE ALLIED PUBLISHING CO. BARODA,5,1916
105,A HISTORY OF SEPOY WAR IN INDIA,A JOHN WILLIAM KAYE,684,W.H.ALLEN & CO. LONDON,4,1876
106,HISTORY OF THE INDIAN MUTINY VOL. II,COL.G.B. MALISON,602,W.H.ALLEN & CO. LONDON,5,1879
107,संस्कृति,DR. ADITY NATH JHA (HINDI),419,"DR. ADITYANATH JHA ABHINANDAN GRANTH SANYOJAN SAMITI DWARA PRAKASHIT, DELHI",3,1969
108,GURU NANAK JI 500 BIRTHDAY,MOHAN SINGH KUMAR,109,"GURPREET PUBLICATIONS, NEW DELHI",5,1969
109,THE PRINCIPLES OF HINDU LAW,…,228,…,4,
110,CONGRESS SPEECHES OF SELF GOVERNMENT,…,,THE ALL INDIA SELF GOVERNMENT PROPAGANDA FUND,4,1916
111,संस्कृति,DR. ADITY NATH JHA (HINDI),560,"DR. ADITYANATH JHA ABHINANDAN GRANTH SANYOJAN SAMITI DWARA PRAKASHIT, DELHI",5,1969
112,"WIT WISDOM OF SOCRATES, PLATO, ARISTOTLE-I",N.B. SEN (ED),278,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",5,1967
113,FIGHT FOR FREEDOM,N.C. RANGA,560,S. CHAND & CO. NEW DELHI,2,1968
114,INDIAN NUCLEAR WEAPON INTER POLITICS,R.L.M. PATEL,338,NATIONAL PUBLISHING HOUSE DELHI,2,1969
115,SOUTH ASIAN LIBRARY AND RESEARCH NOTES,JOHN M. FERGUSON & HENRY FERGUSAN,151,UNIVERSITY OF THE STATE OF NEW YORK,1,
116,A HISTORY OF MUSLIM RULES IN KASHMIR,DR. R.K. PARMAN,544,"D.P.SINHA, PEOPLE'S PUBLISHING HOUSE, NEW DLEHI",5,1969
117,STUDIES IN INDIAN FOREIGN POLICY,K.P. MISRA,346,"VIKAS PUBLICATION, DELHI",2,1969
118,THE POST OFFICE OF INDIA IN THE GREAT WAR,LT. COL. H.A.SAMS,430,"THE TIMES PRESS, BOMBAY",3,1922
119,WHY EMERGENCY?,GOVERNMENT OF INDIA MINISTRY OF HOME AFFAIRS,112,"GOVERNMENT OF INDIA, MINISTRY OF HOME AFFAIRS",5,1975
120,ELECTIONS EXTRAORDINARY,KANWAR LAL,559,"JEET PUBLICATIONS, NEW DELHI",2,1977
121,MAP OF DELHI AND SURROUNDING COUNTRY,…,,,5,
122,"BRITISH WAR PRODUCTION 1935-45, A RECORDS",THE TIMES,240,"PRINTING HOUSE SQUARE, LONDON",2,1945
123,CATALOGUE OF THE DELHI MUSEUM ARCHAEOLOGY,…,65,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",5,1913
124,INDIA PAST AND PRESENT,S.C. DUTT,408,"CHATTO AND WINDUS, PICADDILLY, LONDON",3,1880
125,INDIA 1919 THE INDEMNITY BILL,…,96,…,3,1919
126,ISSUE IN INDIAN LABOUR POLICY,C.K. JOHRI,344,SHRI RAM CENTRE FOR INDUSTRIAL RELATIONS NEW DELHI,5,1969
127,HISTORY OF THE ANDAMAN AND NICOBAR ISLAND,L.P. MATHUR,335,STERLING PUBLISHERS (P) LTD.DELHI,5,1968
128,THE REAL INDIAN PROBLEM,"C.M. HUTCHISNON, C.I.E.",19,"IMPERIAL CHEMICAL INDUSTRIES ( INDIA) LTD, CALCUTTA",3,1931
129,"INDIA, WAR AND MAHATMA GANDHI",MOHAMMAD AMIN KHAN,42,LAHORE,2,
130,ESSAY IN POLITICS AND INTERNATIONAL RELATIONS,A. APPADORAI,288,"P.S. JAYASINGHE, ASIA PUBLISHING HOUSE, BOMBAY",2,1969
131,GLORIOUS THOUGHTS OF THE VEDAS,N.B.SEN,200,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",1,1966
132,THE PROBLEM OF LINGUISTICS STATE IN INDIA,DR. KRISHNA KODESIA,132,STERLING PUBLISHERS (P) LTD.DELHI,3,1969
133,DESCRIPTIVE CATALOGUE OF NON-PERSIAN SOURCES OF MEDIEVAL INDIAN HISTORY,P.SARAN,234,"P.S.JAYASINGHE, ASIA PUBLISHING HOUSE, BOMBAY",3,1965
134,FOUR STUDIES OF INDIAN GOVERNMENT,LIONEL CURTIS,172,ALLAHABAD,1,1917
135,A COMPENDIUM OF RECORD RETENTION SCHEDULES,…,130,GOVERNMENT OF CAPITAL TERRITORY OF DELHI ADMINSTRATIVE REFORMS DEPARTMENT,5,1999
136,DEMOCRACY AND NON-VIOLENCE,KRISHNA KUMAR,236,"SHRI KRISHNA KUMAR, GANDHI PEACE FOUNDATION, NEW DELHI",4,
137,ASHTAR AKIYAT AUR ISLAM,KHAN BAHADUR - HAJI MOHAMMAD YUSUF,124,DELHI,2,
138,COMMUNISM AND ISLAM,KHAN BAHADUR,99,DELHI,5,
139,ALL INDIA SERVICES LAW JOURNAL,,336,BAHRI BROTHERS,5,
140,THE HARD AND BITTER PEACE,G.H. HUDSON,319,"THE PALL MALL PRESS, DELHI",1,1969
141,SELECTIONS FROM NOTE KEPT BY CAP. BIRCH,…,146,"THE SUPERINTENDENT, GOVERNMENT PRINTING, PUNJAB",5,1921
142,VIEWS IN THE EAST,CAP. R. ELLIOT R.N.,,"H. FISHER SON & CO., LONDON",2,1833
143,"NATIONAL REGISTER OF PRIVATE RECORDS NO-1 DESCRIPTIVE LIST OF DOCUMENTS IN THE KAPAD DWARA COLLECTION, JAIPUR (BASED ON THE INFORMATION RECEIVED FROM RAJASTHAN IN 1959-60)",…,202,"NATIONAL ARCHIVES OF INDIA, NEW DELHI",4,1971
144,PENOLOGY OLD AND NEW,PROSANTO KUMAR,239,LONGMAN'S GREEN & CO. LTD,2,1943
145,INDIAN TEXTS SERVICE,SIR. E. DENISON ROSS,,"JOHN MURRAY, LONDON",1,1928
146,PERSIAN LETTERS OF GHALIB,S.A.I. TIRMIZI,120,GHALIB ACADEMY. NEW DELHI,1,1969
147,GLORIOUS THOUGHTS OF NEHRU,N.B. SEN,312,"NEW BOOK SOCIETY OF INDIA, NEW DELHI",2,1968
148,HISTORY OF INDIA VOL. III,SIR H.M. ELLIOT,626,TRUBNER AND CO. LONDON,1,1871
149,SARDHANA,…,256,RAJKAMAL PRAKASHAN (PVT) LTD. DELHI,5,1969
150,THE QUETTA EARTH QUAKE,…,26,"GOVERNMENT OF INDIA PRESS, SIMLA",5,1935
151,THE TAMIL NADU ARCHIVES,..,,"TAMILNADU ARCHIVES, EGMORE MADRAS",1,1970
152,NAND MAURYA YUGEEN BHARAT,K.A.NILKANTHA SASTRI (HINDI),506,"MOTILAL BANARSIDASS, DELHI",1,1969
153,INSTALMENT OF COMMENT ON INDIAN STUDIES,..,94,ALLAHABAD,1,1917
154,INDIAN STUDIES NO-1,..,36,…,4,
155,LAND REVENUE POLICY OF INDIAN GOVERNMENT,..,291,"THE SUPERINTENDENT, GOVERNMENT PRINTING, CALCUTTA",2,1902
156,"ABHILEKH, PANDULIPI, AND RARE BOOKS KA PARIRAKSHAN AND PARISATKAR",KRISHNA DAYAL BHARGAVA (HINDI),42,"BHARTIYA RASHTRIYA ABHILEKHALAYA, BHARATIYA SARKAR, DELHI",3,1960
157,FRIENDS OF INDIA,..,548,…,1,1819
158,LA MINIATURE EN ORIENT,E. KUHNEL,,LES EDITIONS G. CRES & CIE PARIS,3,
159,RALPH FITCH,J.HORTON RYLEY,264,"T. FISHER UNWIN, LONDON",3,1899
160,ETERNAL FLAME (ASPECTS OF GHALIB LIFE),K.N. SUD,136,"STERLING PUBLISHERS(P) LTD, DELHI",5,1969
161,TRUTHS ABOUT INDIA,LORD AMPTHILL,,LONDON,3,1913
162,भारत के मुस्लिम सुल्तान,P.N. OAK (HINDI),413,"SURYA PRAKASHAN, NEW DELHI",5,1969
163,प्राचीन भारत का इतिहास,V.D. MAHAJAN,629,"S. CHAND & SONS CO. LTD, NEW DELHI",3,1967
164,SCHEEM ISTOHAT HIND,KHAN SAHIB SHEIKH ABDUL,276,"PUBLICITY COMMITTEE, PUNJAB",5,1919
165,MINUTE OF COL. MAHARAJA OF BIKANER,…,47,…,1,1915
166,LIST OF MUHAMMADAN AND HINDU MONUMENTS,..,202,"SUPERINTENDENT GOVERNMENT PRINTING, CALCUTTA",2,1916
167,A NEW TIBETO-MONGOL PANTHEON PART 14,PROF. DR. RAGHU VIRA,25,"INTERNATIONAL ACADEMY OF INDIAN CULTURE,NEW DELHI",3,
168,THE LIFE OF THE SAINT OF GIBSAN,DR. LOKESH CHANDRA,,,2,1969
169,THE LIFE OF THE SAINT OF GIBSAN,DR. LOKESH CHANDRA,,"DR. SHARADARANI, NEW DELHI",5,1969
170,THE AUTOBIGRAPHY DIARIES OF SITO PAN-CHEN,DR. LOKESH CHANDRA,,"INTERNATIONAL ACADEMY OF INDIAN CULTURE,NEW DELHI",4,1968
171,MONETARY POLICY AND ECONOMIC DEVELOPMENT IN INDIA,K.M. PATNAIK,284,S. CHAND & CO. NEW DELHI,4,
172,SCIENCE IN THE VEDAS,V.N. SHASTRI,231,SARVADESHIK ARYA PRATINIDHI SABHA,3,1970
173,दिल्ली सांख्यिकी पुस्तिका,…,205,BUREAU OF ECONOMICS AND STATISTICS DELHI ADMINISTRATION DELHI,5,205
174,KASHMIR IN CRUCIBLE,PREM NATH BAZAZ,318,"PAMPOSH PUBLICATION, NEW DELHI",4,1967
175,OUTLINES OF INDIAN LEGAL HISTORY,M.P. JAIN,746,N.M. TRIPATHI PRIVATE LTD. BOMBAY,1,1966
176,RESEARCH FACILITIES IN DELHI,DR. ROBERT HOLMES,116,"KWALITY BOOK SELLERS & PUBLISHERS, DELHI",2,1967
177,CHETNA KE BIMB,NAGENDRA SAHITYA,426,NATIONAL PUBLISHING HOUSE DELHI,1,
178,A SHORT ECONOMIC HISTORY,A.J. SHAIKH,284,S. CHAND & CO. NEW DELHI,2,1966
179,FREEDOM OF INDIA A BIG HOAX,RAM NARAYAN,128,"RAM NARAYAN, QILA ROAD, ROHTAK",4,1970
180,STUDIES IN EARLY BUDDHIST ARCHAEOLOGY OF INDIA,H. SARKAR,120,"MUNSHIRAM MANOHARLAL , DELHI",5,1966
181,HINDU MAHASABHA ITS CONTRIBUTION TO INDIAN POLITICS,INDRA PRAKASH,182,"BANKIM CHANDRA CHATTERJEE, AKHIL BHARAT HINDU MAHASABHA, NEW DELHI",4,1966
182,INDIA'S ECONOMIC CRISIS AND FOURTH FIVE-YEAR PLAN,B.M. BHATIA,91,"RAM LAL PURY, ATMA RAM & SONS, DELHI",4,1967
183,A SIMPLE HISTORY OF MEDIEVAL INDIA,FOUR AUTHORS,368,"SURJEET BOOK DEPOT, DELHI",5,1967
184,BENGAL RENAISSANCE AND OTHER ESSAYS,SUSOBHAN SARKAR,285,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",4,1970
185,CHANGING MODES OF INDIAN NATIONAL MOVEMENT,BISHESHWAR PRASAD,147,"D.P. SINHA, NEW AGE PRINTING PRESS, NEW DELHI",2,1966
186,CONSTITUTIONAL HISTORY OF INDIA,V.D. MAHAJAN,674,S. CHAND & CO. NEW DELHI,2,1967
187,POLITICAL CORRUPTION IN INDIA,SURENDRANATH AND G.S BHARGAVA,180,"POPULAR BOOK SERVICE, NEW DELHI",5,1967
188,"THE PUNJAB LAND REVENUE, ACT-VI 1887",O.P. AGGARWALA,650,METROPLITAN BOOK CO. (PVT.) LTD. DELHI,4,1966
189,WITH TWO PRESIDENTS THE INSIDE STORY,MAJOR C.L. DATTA,149,"VIKAS PUBLICATIONS, DELHI",5,1970
190,SHRI GEORGE PRASHASTI,PT. PARMANAND SHASTRI,107,DELHI,3,
191,TRADE UNIONS AND THE RIGHTS OF STRIKE,S.N. DHYANI,424,S CHAND & CO. (PVT.) LTD.,5,1978
192,INDIAN PSYCHOLOGICAL ABSTRACTS AND REVIEWS VOL. 10,,514,SAGE PUBLICATIONS,4,JULY DECEMBER 2003
193,FIFTY BASIC CIVIL WAR DOCUMENTS,HENRY STEELE COMMAGER,165,EURASIA PUBLISHING HOUSE (P) LTD. NEW DELHI,4,1965
194,THE VIETNAM WAR : WHY?,M SIVA RAM,175,"ATMA RAM & SONS, DELHI",4,1966
195,A HISTORY OF DENMARK,ERIK KJERSGAARD,102,ROYAL DANISH MINISTRY OF FOREIGN AFFAIRS,1,1974
196,STUDIES IN ASIAN HISTORY,DR.S.N. VYAS,542,"ASIA PUBLISHING HOUSE, NEW DELHI",4,1969
197,MAP,…,,…,2,
198,TRAVELS IN INDIA SIND AND THE PUNJAB,CAPTAIN LEOPOLD VON ORLICH,314,LONDON,1,1845
199,THE CULTURE AND CIVILIZATION OF ANCIENT INDIA IN HISTORICAL OUTLINE,D.D. KOSAMBI,243,"VIKAS PUBLISHING HOUSE PVT LTD, DELHI",4,1970
200,PRE HISTORIC ARCHAEOLOGY,D.K. BHATTACHARYA,196,HINDUSTAN PUBLISHING CORPORTION (INDIA) DELHI,3,1972
201,HISTORY OF INDIA AND NATIONAL MOVEMENT,R.C. AGGARWALA,623,S. CHAND & CO. NEW DELHI,5,1969
202,KHILAFAT TO PARTITION 1919-47,DR. MOIN SHAKIR,300,"KALAMKAR PRAKASHAN, NEW DELHI",4,1970
203,INDIAN TEMPLE STYLES,K.V. SOUNDARA RAJAN,179,"MUNSHIRAM MANOHARLAL, NEW DELHI",5,1972
